medicament;typ_medicament
BELIMUMAB (MAMMIFERE/SOURIS/CELLULES NSO);Substance
BEMEDREX;Produit
BEMFOLA;Produit
BENAZEPRIL (CHLORHYDRATE DE);Substance
BENAZEPRIL ARROW;Produit
BENAZEPRIL EG;Produit
BENAZEPRIL HYDROCHLOROTHIAZIDE ARROW;Produit
BENAZEPRIL HYDROCHLOROTHIAZIDE EG;Produit
BENAZEPRIL HYDROCHLOROTHIAZIDE TEVA SANTE;Produit
BENAZEPRIL MYLAN;Produit
BENAZEPRIL TEVA SANTE;Produit
BENDROFLUMETHIAZIDE;Substance
BENEMIDE;Produit
BENEPALI;Produit
BENLYSTA;Produit
BENSERAZIDE (CHLORHYDRATE DE);Substance
BENZALKONIUM (CHLORURE DE);Substance
BENZALKONIUM (CHLORURE DE), SOLUTION DE;Substance
BENZATHINE BENZYLPENICILLINE;Substance
BENZATHINE BENZYLPENICILLINE SANDOZ;Produit
BENZATHINE PHENOXYMETHYLPENICILLINE;Substance
BENZOYLE (PEROXYDE DE);Substance
BENZYLE (BENZOATE DE);Substance
BENZYLTHIOURACILE;Substance
BETA ADALATE;Produit
BETADINE;Produit
BETAFERON;Produit
BETAGAN;Produit
BETAHISTINE (DICHLORHYDRATE DE);Substance
BETAHISTINE (MESILATE DE);Substance
BETAHISTINE ACCORD;Produit
BETAHISTINE ACTAVIS;Produit
BETAHISTINE ARROW;Produit
BETAHISTINE BIOGARAN;Produit
BETAHISTINE BOUCHARA RECORDATI;Produit
BETAHISTINE EG;Produit
BETAHISTINE EG LABO;Produit
BETAHISTINE MYLAN;Produit
BETAHISTINE MYLAN PHARMA;Produit
BETAHISTINE RANBAXY;Produit
BETAHISTINE RATIOPHARM;Produit
BETAHISTINE RPG;Produit
BETAHISTINE SANDOZ;Produit
BETAHISTINE TEVA;Produit
BETAHISTINE ZENTIVA;Produit
BETAHISTINE ZYDUS;Produit
BETAHISTINE ZYDUS France;Produit
BETAMETHASONE;Substance
BETAMETHASONE (ACETATE DE);Substance
BETAMETHASONE (DIPROPIONATE DE);Substance
BETAMETHASONE (PHOSPHATE DE) ET DE DISODIUM;Substance
BETAMETHASONE (VALERATE DE);Substance
BETAMETHASONE ARROW;Produit
BETAMETHASONE BIOGARAN;Produit
BETAMETHASONE EG;Produit
BETAMETHASONE ZENTIVA;Produit
BETASEPTIC;Produit
BETASERC;Produit
BETATOP;Produit
BETAXOLOL (CHLORHYDRATE DE);Substance
BETAXOLOL BIOGARAN;Produit
BETAXOLOL EG;Produit
BETAXOLOL MYLAN;Produit
BETAXOLOL SANDOZ;Produit
BETAXOLOL TEVA SANTE;Produit
BETESIL;Produit
BETNESOL;Produit
BETNEVAL;Produit
BETOPTIC;Produit
BEVITINE;Produit
BEXAROTENE;Substance
BEXSERO;Produit
BEZAFIBRATE;Substance
BI MISSILOR;Produit
BI TILDIEM;Produit
BICALUTAMIDE;Substance
BICALUTAMIDE ACCORD;Produit
BICALUTAMIDE ACTAVIS France;Produit
BICALUTAMIDE ALMUS;Produit
BICALUTAMIDE ALTER;Produit
BICALUTAMIDE ARROW;Produit
BICALUTAMIDE ARROW LAB;Produit
BICALUTAMIDE BIOGARAN;Produit
BICALUTAMIDE CRISTERS;Produit
BICALUTAMIDE EG;Produit
BICALUTAMIDE HEXAL;Produit
BICALUTAMIDE ISOMED;Produit
BICALUTAMIDE MYLAN;Produit
BICALUTAMIDE MYLAN PHARMA;Produit
BICALUTAMIDE PHR LAB;Produit
BICALUTAMIDE RANBAXY;Produit
BICALUTAMIDE RATIOPHARM;Produit
BICALUTAMIDE SANDOZ;Produit
BICALUTAMIDE TEVA;Produit
BICALUTAMIDE ZENTIVA;Produit
BICALUTAMIDE ZYDUS;Produit
BICALUTAMIDE ZYDUS France;Produit
BICARBONATE DE SODIUM LAVOISIER;Produit
BICTEGRAVIR SODIQUE;Substance
BIFONAZOLE;Substance
BIGONIST;Produit
BIKTARVY;Produit
BILASKA;Produit
BILASTINE;Substance
BILTRICIDE;Produit
BIMATOPROST;Substance
BIMATOPROST EG;Produit
BIMATOPROST MYLAN PHARMA;Produit
BIMATOPROST SANDOZ;Produit
BINOCRIT;Produit
BIOCADEXTRO;Produit
BIOCALYPTOL;Produit
BIOCIDAN;Produit
BIODALGIC;Produit
BIONOLYTE;Produit
BIORGASEPT;Produit
BIOTINE;Substance
BIPERIDENE (CHLORHYDRATE DE);Substance
BIPERIDYS;Produit
BIPERIDYSFLASH;Produit
BIPRETERAX;Produit
BIPROFENID;Produit
BIRODOGYL;Produit
BISEPTINE;Produit
BISMUTH POTASSIQUE (SOUS-CITRATE DE);Substance
BISOCE;Produit
BISOPROLOL (FUMARATE ACIDE DE);Substance
BISOPROLOL ACCORD HEALTHCARE;Produit
BISOPROLOL ACTAVIS;Produit
BISOPROLOL ACTAVIS FRANCE;Produit
BISOPROLOL ALMUS;Produit
BISOPROLOL ARROW;Produit
BISOPROLOL BGR;Produit
BISOPROLOL BIOGARAN;Produit
BISOPROLOL CRISTERS;Produit
BISOPROLOL EG;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE ARROW;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE BIOGARAN;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE CRISTERS;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE EG;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE MYLAN;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE MYLAN PHARMA;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE RATIOPHARM;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE SANDOZ;Produit
BISOPROLOL HYDROCHLOROTHIAZIDE TEVA;Produit
BISOPROLOL KRKA;Produit
BISOPROLOL MYLAN;Produit
BISOPROLOL QUIVER;Produit
BISOPROLOL RANBAXY;Produit
BISOPROLOL RATIOPHARM;Produit
BISOPROLOL RPG;Produit
BISOPROLOL SANDOZ;Produit
BISOPROLOL TEVA;Produit
BISOPROLOL TEVA SANTE;Produit
BISOPROLOL ZENTIVA;Produit
BISOPROLOL ZENTIVA LAB;Produit
BISOPROLOL ZYDUS;Produit
BISOPROLOL ZYDUS FRANCE;Produit
BISOPROLOL/HYDROCHLOROTHIAZIDE ZENTIVA;Produit
BLEOMYCINE;Produit
BLEOMYCINE (SULFATE DE);Substance
BOCEPREVIR;Substance
BONDRONAT;Produit
BONTEFEL;Produit
BOOSTRIXTETRA;Produit
BORAX;Substance
BORAX ACIDE BORIQUE ZENTIVA;Produit
BORAX/ACIDE BORIQUE BIOGARAN;Produit
BORIQUE (ACIDE);Substance
BOSULIF;Produit
BOSUTINIB MONOHYDRATE;Substance
BOURSILAM;Produit
BREAKYL;Produit
BREXIN;Produit
BRIAZIDE;Produit
BRICANYL;Produit
BRIEM;Produit
BRILIQUE;Produit
BRIMONIDINE (TARTRATE DE);Substance
BRIMONIDINE BIOGARAN;Produit
BRIMONIDINE CHAUVIN;Produit
BRIMONIDINE EG;Produit
BRIMONIDINE MYLAN;Produit
BRIMONIDINE RATIOPHARM;Produit
BRIMONIDINE SANDOZ;Produit
BRIMONIDINE TEVA;Produit
BRINTELLIX;Produit
BRINZOLAMIDE;Substance
BRINZOLAMIDE ARROW;Produit
BRINZOLAMIDE BIOGARAN;Produit
BRINZOLAMIDE CRISTERS;Produit
BRINZOLAMIDE EG;Produit
BRINZOLAMIDE MYLAN;Produit
BRINZOLAMIDE SANDOZ;Produit
BRODALUMAB (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
BROMAZEPAM;Substance
BROMAZEPAM ARROW;Produit
BROMAZEPAM BIOGARAN;Produit
BROMAZEPAM CRISTERS;Produit
BROMAZEPAM EG;Produit
BROMAZEPAM ISOMED;Produit
BROMAZEPAM MYLAN;Produit
BROMAZEPAM QUALIMED;Produit
BROMAZEPAM RATIOPHARM;Produit
BROMAZEPAM RPG;Produit
BROMAZEPAM SANDOZ;Produit
BROMAZEPAM TEVA;Produit
BROMAZEPAM TEVA PHARMA;Produit
BROMAZEPAM ZENTIVA;Produit
BROMAZEPAM ZYDUS;Produit
BROMFENAC SODIQUE SESQUIHYDRATE;Substance
BROMOCRIPTINE (MESILATE DE);Substance
BROMOCRIPTINE ZENTIVA;Produit
BROMPHENIRAMINE (MALEATE DE);Substance
BROMURE D'UMECLIDINIUM;Substance
BROMURE DE METHYLNALTREXONE;Substance
BRONCHODUAL;Produit
BRUFEN;Produit
BUCCOLAM;Produit
BUDESONIDE;Substance
BUDESONIDE ARROW;Produit
BUDESONIDE BIOGARAN;Produit
BUDESONIDE CRISTERS;Produit
BUDESONIDE EG;Produit
BUDESONIDE EVOLUGEN;Produit
BUDESONIDE ISOMED;Produit
BUDESONIDE MYLAN;Produit
BUDESONIDE SANDOZ;Produit
BUDESONIDE TEVA;Produit
BUDESONIDE TEVA CLASSICS;Produit
BUMETANIDE;Substance
BUPRENORPHINE (CHLORHYDRATE DE);Substance
BUPRENORPHINE ARROW;Produit
BUPRENORPHINE BIOGARAN;Produit
BUPRENORPHINE CRISTERS;Produit
BUPRENORPHINE EG;Produit
BUPRENORPHINE ETHYPHARM;Produit
BUPRENORPHINE MYLAN;Produit
BUPRENORPHINE SANDOZ;Produit
BUPRENORPHINE TEVA;Produit
BURINEX;Produit
BUSERELINE (ACETATE DE);Substance
BUSPIRONE (CHLORHYDRATE DE);Substance
BUSPIRONE MYLAN;Produit
BUSPIRONE SANDOZ;Produit
BUSULFAN;Substance
BYDUREON;Produit
BYETTA;Produit
CABERGOLINE;Substance
CABERGOLINE SANDOZ;Produit
CABERGOLINE TEVA;Produit
CABOMETYX;Produit
CABOZANTINIB (S)-MALATE DE);Substance
CACIT;Produit
CACIT VITAMINE D3;Produit
CADE (HUILE DE);Substance
CADENS;Produit
CADITAR;Produit
CADUET;Produit
CAFEINE;Substance
CAFEINE (CITRATE DE);Substance
CAFEINE MONOHYDRATEE;Substance
CALCIDIA;Produit
CALCIDOSE;Produit
CALCIDOSE VITAMINE D3;Produit
CALCIFEDIOL MONOHYDRATE;Substance
CALCIFORTE;Produit
CALCIFORTE VITAMINE D3;Produit
CALCIPARINE;Produit
CALCIPOTRIOL MONOHYDRATE;Substance
CALCIPRAT;Produit
CALCIPRAT VITAMINE D3;Produit
CALCITONINE PHARMY II;Produit
CALCITONINE SALMINE SYNTHETIQUE;Substance
CALCITONINE SANDOZ;Produit
CALCITRIOL;Substance
CALCIUM (ACETATE DE);Substance
CALCIUM (ACETATE DE) MONOHYDRATE;Substance
CALCIUM (ALPHA CETO DL ISOLEUCINE DE);Substance
CALCIUM (ALPHA CETO LEUCINE DE);Substance
CALCIUM (ALPHA CETO PHENYLALANINE DE);Substance
CALCIUM (ALPHA CETO VALINE DE);Substance
CALCIUM (CARBONATE DE);Substance
CALCIUM (CHLORURE DE);Substance
CALCIUM (FLUORURE DE);Substance
CALCIUM (FOLINATE DE);Substance
CALCIUM (GLUCOHEPTONATE DE);Substance
CALCIUM (GLUCONATE DE);Substance
CALCIUM (GLUCONOLACTATE DE);Substance
CALCIUM (HYDROXYMETHIONINATE DE);Substance
CALCIUM (LACTATE DE) PENTAHYDRATE;Substance
CALCIUM (LEVOFOLINATE DE);Substance
CALCIUM (POLYSTYRENE SULFONATE DE);Substance
CALCIUM ARROW;Produit
CALCIUM GLUCONATE LAVOISIER;Produit
CALCIUM MYLAN;Produit
CALCIUM SANDOZ;Produit
CALCIUM VITAMINE D3 ARROW;Produit
CALCIUM VITAMINE D3 BIOGARAN;Produit
CALCIUM VITAMINE D3 EG;Produit
CALCIUM VITAMINE D3 GNR;Produit
CALCIUM VITAMINE D3 MYLAN;Produit
CALCIUM VITAMINE D3 RANBAXY;Produit
CALCIUM VITAMINE D3 RATIOPHARM;Produit
CALCIUM VITAMINE D3 SANDOZ;Produit
CALCIUM VITAMINE D3 TEVA;Produit
CALCIUM VITAMINE D3 ZYDUS;Produit
CALCOS VITAMINE D3;Produit
CALDINE;Produit
CALPEROS;Produit
CALPEROS D3;Produit
CALPRIMUM;Produit
CALSYN;Produit
CALTRATE;Produit
CANAKINUMAB (MAMMIFERE/SOURIS/CELLULES SP2/O);Substance
CANDESARTAN ARROW;Produit
CANDESARTAN BIOGARAN;Produit
CANDESARTAN CILEXETIL;Substance
CANDESARTAN CRISTERS;Produit
CANDESARTAN EG;Produit
CANDESARTAN EVOLUGEN;Produit
CANDESARTAN HCS;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE ARROW;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE BIOGARAN;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE CRISTERS;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE EG LABO;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE EVOLUGEN;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE HCS;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE MYLAN;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE MYLAN PHARMA;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE RANBAXY;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE SANDOZ;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE TEVA;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE TEVA SANTE;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE ZENTIVA;Produit
CANDESARTAN HYDROCHLOROTHIAZIDE ZYDUS;Produit
CANDESARTAN MYLAN;Produit
CANDESARTAN MYLAN PHARMA;Produit
CANDESARTAN RANBAXY;Produit
CANDESARTAN SANDOZ;Produit
CANDESARTAN SUN;Produit
CANDESARTAN TEVA;Produit
CANDESARTAN TEVA SANTE;Produit
CANDESARTAN ZENTIVA;Produit
CANDESARTAN ZYDUS;Produit
CAPECITABINE;Substance
CAPECITABINE ARROW;Produit
CAPECITABINE BIOGARAN;Produit
CAPECITABINE CRISTERS;Produit
CAPECITABINE EG;Produit
CAPECITABINE MYLAN;Produit
CAPECITABINE SANDOZ;Produit
CAPECITABINE TEVA;Produit
CAPECITABINE ZENTIVA;Produit
CAPRELSA;Produit
CAPTEA;Produit
CAPTOPRIL;Substance
CAPTOPRIL ARROW;Produit
CAPTOPRIL BIOGARAN;Produit
CAPTOPRIL BIOSTABILEX;Produit
CAPTOPRIL EG;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE ACTAVIS;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE ARROW;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE BIOGARAN;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE CRISTERS;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE EG;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE RATIOPHARM;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE SANDOZ;Produit
CAPTOPRIL HYDROCHLOROTHIAZIDE TEVA;Produit
CAPTOPRIL MYLAN;Produit
CAPTOPRIL SANDOZ;Produit
CAPTOPRIL TEVA;Produit
CAPTOPRIL ZENTIVA;Produit
CAPTOPRIL ZYDUS;Produit
CAPTOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA;Produit
CARBAMAZEPINE;Substance
CARBAMAZEPINE GNR;Produit
CARBAMAZEPINE MYLAN;Produit
CARBAMAZEPINE SANDOZ;Produit
CARBAMAZEPINE TEVA;Produit
CARBIDOPA ANHYDRE;Substance
CARBIDOPA MONOHYDRATEE;Substance
CARBIMAZOLE;Substance
CARBOMERE 974P;Substance
CARBOMERE 980;Substance
CARBOSYMAG;Produit
CARDENSIEL;Produit
CARDIOCOR;Produit
CARLIN;Produit
CARMELLOSE SODIQUE;Substance
CARPIPRAMINE (CHLORHYDRATE DE);Substance
CARRAGAHEEN (EXTRAIT DE);Substance
CARRAGHENATES;Substance
CARTEOL;Produit
CARTEOLOL (CHLORHYDRATE DE);Substance
CARTREX;Produit
CARVEDILOL;Substance
CARVEDILOL ARROW;Produit
CARVEDILOL BIOGARAN;Produit
CARVEDILOL EG;Produit
CARVEDILOL MYLAN;Produit
CARVEDILOL TEVA;Produit
CARVEDILOL ZENTIVA;Produit
CASODEX;Produit
CATAPRESSAN;Produit
CATIORESINE SULFO SODIQUE;Substance
CAVERJECT;Produit
CAVERJECTDUAL;Produit
CAYSTON;Produit
CEBEMYXINE;Produit
CEBUTID;Produit
CEFACET;Produit
CEFACLOR;Substance
CEFACLOR MYLAN;Produit
CEFADROXIL;Substance
CEFADROXIL BIOGARAN;Produit
CEFADROXIL MONOHYDRATE;Substance
CEFADROXIL MYLAN;Produit
CEFADROXIL SANDOZ;Produit
CEFALEXINE MONOHYDRATEE;Substance
CEFEPIME (DICHLORHYDRATE DE) MONOHYDRATE;Substance
CEFEPIME MYLAN;Produit
CEFIXIME;Substance
CEFIXIME ACTAVIS;Produit
CEFIXIME ALMUS;Produit
CEFIXIME ARROW;Produit
CEFIXIME BIOGARAN;Produit
CEFIXIME EG;Produit
CEFIXIME EVOLUGEN;Produit
CEFIXIME MYLAN;Produit
CEFIXIME MYLAN PHARMA;Produit
CEFIXIME RANBAXY;Produit
CEFIXIME TEVA;Produit
CEFIXIME ZENTIVA;Produit
CEFIXIME ZYDUS;Produit
CEFOTIAM HEXETIL (CHLORHYDRATE DE);Substance
CEFPODOXIME ACTAVIS;Produit
CEFPODOXIME ALMUS;Produit
CEFPODOXIME ARROW;Produit
CEFPODOXIME ARROW LAB;Produit
CEFPODOXIME BIOGARAN;Produit
CEFPODOXIME CRISTERS;Produit
CEFPODOXIME EG;Produit
CEFPODOXIME ISOMED;Produit
CEFPODOXIME MYLAN;Produit
CEFPODOXIME MYLAN PHARMA;Produit
CEFPODOXIME PROXETIL;Substance
CEFPODOXIME RANBAXY;Produit
CEFPODOXIME RATIOPHARM;Produit
CEFPODOXIME SANDOZ;Produit
CEFPODOXIME TEVA;Produit
CEFPODOXIME VENIPHARM;Produit
CEFPODOXIME ZENTIVA;Produit
CEFPODOXIME ZYDUS;Produit
CEFRADINE;Substance
CEFTAZIDIME;Substance
CEFTAZIDIME ARROW;Produit
CEFTAZIDIME GERDA;Produit
CEFTAZIDIME MYLAN;Produit
CEFTAZIDIME TEVA;Produit
CEFTRIAXONE ACTAVIS;Produit
CEFTRIAXONE ALMUS;Produit
CEFTRIAXONE ARROW;Produit
CEFTRIAXONE BIOGARAN;Produit
CEFTRIAXONE CRISTERS;Produit
CEFTRIAXONE DISODIQUE HEMIHEPTAHYDRATE;Substance
CEFTRIAXONE EG;Produit
CEFTRIAXONE EVOLUGEN;Produit
CEFTRIAXONE GNR;Produit
CEFTRIAXONE MYLAN;Produit
CEFTRIAXONE SANDOZ;Produit
CEFTRIAXONE SODIQUE ANHYDRE;Substance
CEFTRIAXONE SUN;Produit
CEFTRIAXONE TEVA;Produit
CEFTRIAXONE TEVA SANTE;Produit
CEFTRIAXONE ZENTIVA;Produit
CEFTRIAXONE ZYDUS;Produit
CEFUROXIME ACTAVIS;Produit
CEFUROXIME ARROW;Produit
CEFUROXIME AXETIL;Substance
CEFUROXIME BIOGARAN;Produit
CEFUROXIME CRISTERS;Produit
CEFUROXIME EG;Produit
CEFUROXIME KRKA;Produit
CEFUROXIME MYLAN;Produit
CEFUROXIME ORCHID EUROPE;Produit
CEFUROXIME RANBAXY;Produit
CEFUROXIME RATIOPHARM;Produit
CEFUROXIME SANDOZ;Produit
CEFUROXIME SODIQUE;Substance
CEFUROXIME TEVA;Produit
CEFUROXIME ZENTIVA;Produit
CELEBREX;Produit
CELECOXIB;Substance
CELECOXIB ARROW;Produit
CELECOXIB BIOGARAN;Produit
CELECOXIB CRISTERS;Produit
CELECOXIB EG;Produit
CELECOXIB HCS;Produit
CELECOXIB MYLAN PHARMA;Produit
CELECOXIB PFIZER;Produit
CELECOXIB RANBAXY;Produit
CELECOXIB SANDOZ;Produit
CELECOXIB TEVA;Produit
CELECOXIB ZENTIVA;Produit
CELECOXIB ZYDUS;Produit
CELECTOL;Produit
CELESTENE;Produit
CELIPROLOL (CHLORHYDRATE DE);Substance
CELIPROLOL ACTAVIS;Produit
CELIPROLOL ALMUS;Produit
CELIPROLOL ALPHARMA;Produit
CELIPROLOL ARROW;Produit
CELIPROLOL BIOGARAN;Produit
CELIPROLOL CRISTERS;Produit
CELIPROLOL EG;Produit
CELIPROLOL EVOLUGEN;Produit
CELIPROLOL MYLAN;Produit
CELIPROLOL RANBAXY;Produit
CELIPROLOL RATIOPHARM;Produit
CELIPROLOL SANDOZ;Produit
CELIPROLOL TEVA;Produit
CELIPROLOL ZENTIVA;Produit
CELLCEPT;Produit
CELLTOP;Produit
CELLUVISC;Produit
CELSENTRI;Produit
CERIS;Produit
CERITINIB;Substance
CERNEVIT;Produit
CERTICAN;Produit
CERTOLIZUMAB PEGOL (BACTERIE/ESCHERICHIA COLI);Substance
CERVARIX;Produit
CETHEXONIUM (BROMURE DE);Substance
CETIRIZINE (DICHLORHYDRATE DE);Substance
CETIRIZINE ACTAVIS;Produit
CETIRIZINE ALMUS;Produit
CETIRIZINE ARROW;Produit
CETIRIZINE ARROW LAB;Produit
CETIRIZINE BIOGARAN;Produit
CETIRIZINE CRISTERS;Produit
CETIRIZINE EG;Produit
CETIRIZINE EVOLUGEN;Produit
CETIRIZINE GNR;Produit
CETIRIZINE ISOMED;Produit
CETIRIZINE MYLAN;Produit
CETIRIZINE PHR LAB;Produit
CETIRIZINE RATIOPHARM;Produit
CETIRIZINE RPG;Produit
CETIRIZINE SANDOZ;Produit
CETIRIZINE TEVA;Produit
CETIRIZINE ZENTIVA;Produit
CETIRIZINE ZYDUS;Produit
CETORNAN;Produit
CETRORELIX (ACETATE DE);Substance
CETROTIDE;Produit
CHAMPIX;Produit
CHARBON ACTIVE;Substance
CHIBRO CADRON;Produit
CHIBRO PROSCAR;Produit
CHIBROXINE;Produit
CHLORAMBUCIL;Substance
CHLORAMINOPHENE;Produit
CHLORHEXIDINE (DIGLUCONATE DE), SOLUTION DE;Substance
CHLORHEXIDINE (GLUCONATE DE);Substance
CHLORHEXIDINE ARROW CONSEIL;Produit
CHLORHEXIDINE BENZALKONIUM ALCOOL BENZYLIQUE BIOGARAN;Produit
CHLORHEXIDINE CHLOROBUTANOL ARROW;Produit
CHLORHEXIDINE CHLOROBUTANOL BIOGARAN;Produit
CHLORHEXIDINE CHLOROBUTANOL EG;Produit
CHLORHEXIDINE CHLOROBUTANOL MYLAN;Produit
CHLORHEXIDINE CHLOROBUTANOL PHR LAB;Produit
CHLORHEXIDINE CHLOROBUTANOL RATIOPHARM;Produit
CHLORHEXIDINE CHLOROBUTANOL SANDOZ;Produit
CHLORHEXIDINE CHLOROBUTANOL TEVA;Produit
CHLORHEXIDINE/CHLOROBUTANOL ZENTIVA;Produit
CHLORHYDRATE DE DONEPEZIL;Substance
CHLORHYDRATE DE FEXOFENADINE;Substance
CHLORHYDRATE DE METOCLOPRAMIDE ANHYDRE;Substance
CHLORHYDRATE DE NARATRIPTAN;Substance
CHLORHYDRIQUE (ACIDE);Substance
CHLORMADINONE (ACETATE DE);Substance
CHLORMADINONE MYLAN;Produit
CHLORMADINONE MYLAN GENERIQUES;Produit
CHLORMADINONE SANDOZ;Produit
CHLORMADINONE TEVA;Produit
CHLOROBUTANOL HEMIHYDRATE;Substance
CHLOROCRESOL;Substance
CHLOROQUINE (PHOSPHATE DE);Substance
CHLOROQUINE (SULFATE DE);Substance
CHLORPROMAZINE (CHLORHYDRATE DE);Substance
CHLORTALIDONE;Substance
CHLORURE DE SODIUM BIOLUZ;Produit
CHOLECALCIFEROL;Substance
CHOLECALCIFEROL (CONCENTRAT DE), FORME PULVERULENTE;Substance
CHOLECALCIFEROL ARROW;Produit
CHOLECALCIFEROL BIOGARAN;Produit
CHOLECALCIFEROL MYLAN;Produit
CHOLECALCIFEROL SANDOZ;Produit
CHOLECALCIFEROL TEVA;Produit
CHOLURSO;Produit
CHONDROITINE (SULFATE DE) A SODIQUE;Substance
CHONDROITINE (SULFATE DE) SODIQUE (OISEAU/POULET/OS);Substance
CHONDROSULF;Produit
CHORIOGONADOTROPINE ALFA (MAMMIFERE/HAMSTER/CELLULES CHO);Substance
CHROMIQUE (CHLORURE) HEXAHYDRATE;Substance
CHRONADALATE;Produit
CHRONO INDOCID;Produit
CIBACENE;Produit
CIBADREX;Produit
CIBENZOLINE (SUCCINATE DE);Substance
CICLESONIDE;Substance
CICLETANINE (CHLORHYDRATE DE);Substance
CICLETANINE BIOGARAN;Produit
CICLETANINE MYLAN;Produit
CICLETANINE TEVA;Produit
CICLOPIROX;Substance
CICLOPIROX BIOGARAN;Produit
CICLOPIROX MYLAN;Produit
CICLOPIROX OLAMINE;Substance
CICLOPIROX OLAMINE BIOGARAN;Produit
CICLOPIROX OLAMINE SANDOZ;Produit
CICLOPIROX OLAMINE TEVA;Produit
CICLOPIROX TEVA;Produit
CICLOSPORINE;Substance
CIFLOX;Produit
CILASTATINE SODIQUE;Substance
CILAZAPRIL MONOHYDRATE;Substance
CILAZAPRIL TEVA;Produit
CILOXADEX;Produit
CILOXAN;Produit
CIMETIDINE;Substance
CIMETIDINE ARROW;Produit
CIMETIDINE MYLAN;Produit
CIMETIDINE TEVA;Produit
CIMZIA;Produit
CINACALCET (CHLORHYDRATE DE);Substance
CINCHONIDINE (CHLORHYDRATE DE);Substance
CINCHONINE (CHLORHYDRATE DE);Substance
CIPRALAN;Produit
CIPROFIBRATE;Substance
CIPROFIBRATE ARROW;Produit
CIPROFIBRATE BIOGARAN;Produit
CIPROFIBRATE MYLAN;Produit
CIPROFIBRATE RPG;Produit
CIPROFIBRATE SANDOZ;Produit
CIPROFIBRATE TEVA;Produit
CIPROFIBRATE ZENTIVA;Produit
CIPROFLOXACINE;Substance
CIPROFLOXACINE (CHLORHYDRATE DE);Substance
CIPROFLOXACINE ACCORD;Produit
CIPROFLOXACINE ALTER;Produit
CIPROFLOXACINE ARROW;Produit
CIPROFLOXACINE BIOGARAN;Produit
CIPROFLOXACINE EG;Produit
CIPROFLOXACINE EVOLUGEN;Produit
CIPROFLOXACINE MYLAN;Produit
CIPROFLOXACINE PFIZER;Produit
CIPROFLOXACINE QUIVER;Produit
CIPROFLOXACINE RATIOPHARM;Produit
CIPROFLOXACINE SANDOZ;Produit
CIPROFLOXACINE SERVIPHARM;Produit
CIPROFLOXACINE SUN;Produit
CIPROFLOXACINE TEVA;Produit
CIPROFLOXACINE ZENTIVA;Produit
CIPROFLOXACINE ZYDUS;Produit
CIRE MICROCRISTALLINE;Substance
CITALOPRAM (BROMHYDRATE DE);Substance
CITALOPRAM (CHLORHYDRATE DE);Substance
CITALOPRAM ACTAVIS;Produit
CITALOPRAM ALMUS;Produit
CITALOPRAM ALTER;Produit
CITALOPRAM ARROW;Produit
CITALOPRAM BIOGARAN;Produit
CITALOPRAM BLUEFISH;Produit
CITALOPRAM CRISTERS;Produit
CITALOPRAM EG;Produit
CITALOPRAM EVOLUGEN;Produit
CITALOPRAM GNR;Produit
CITALOPRAM ISOMED;Produit
CITALOPRAM LUNDBECK;Produit
CITALOPRAM MYLAN;Produit
CITALOPRAM RANBAXY;Produit
CITALOPRAM RPG;Produit
CITALOPRAM SANDOZ;Produit
CITALOPRAM TEVA;Produit
CITALOPRAM TEVA SANTE;Produit
CITALOPRAM ZENTIVA;Produit
CITALOPRAM ZYDUS;Produit
CITRAFLEET;Produit
CITRATE DE CAFEINE COOPER;Produit
CITRIQUE (ACIDE) ANHYDRE;Substance
CIVIGEL;Produit
CLADRIBINE;Substance
CLAMOXYL;Produit
CLARADOL;Produit
CLARAMID;Produit
CLAREAL;Produit
CLARELUX;Produit
CLARISCAN;Produit
CLARITHROMYCINE;Substance
